,Names,Age,Total_Purchase,Account_Manager,Years,Num_Sites,Onboard_date,Location,Company,Churn,Tenure_year,Years_x_Num_Sites,Log_Total_Purchase
0,Cameron Williams,42.0,11066.8,0,7.22,8.0,2013-08-30 07:00:40,"10265 Elizabeth Mission Barkerburgh, AK 89518",Harvey LLC,1,Old,57.76,9.311795270631515
1,Kevin Mueller,41.0,11916.22,0,6.5,11.0,2013-08-13 00:38:46,"6157 Frank Gardens Suite 019 Carloshaven, RI 17756",Wilson PLC,1,Old,71.5,9.385739691942472
2,Eric Lozano,38.0,12884.75,0,6.67,12.0,2016-06-29 06:20:07,"1331 Keith Court Alyssahaven, DE 90114","Miller, Johnson and Wallace",1,Old,80.03999999999999,9.463877328610186
3,Phillip White,42.0,8010.76,0,6.71,10.0,2014-04-22 12:43:12,"13120 Daniel Mount Angelabury, WY 30645-4695",Smith Inc,1,Old,67.1,8.988665741269648
4,Cynthia Norton,37.0,9191.58,0,5.56,9.0,2016-01-19 15:31:15,"765 Tricia Row Karenshire, MH 71730",Love-Jones,1,Mid,50.04,9.126151915884362
5,Jessica Williams,48.0,10356.02,0,5.12,8.0,2009-03-03 23:13:37,"6187 Olson Mountains East Vincentborough, PR 74359",Kelly-Warren,1,Mid,40.96,9.245419829648132
6,Eric Butler,44.0,11331.58,1,5.23,11.0,2016-05-12 03:35:43,"4846 Savannah Road West Justin, IA 87713-3460",Reynolds-Sheppard,1,Mid,57.53,9.335437042132686
7,Zachary Walsh,32.0,9885.12,1,6.92,9.0,2006-09-03 14:50:20,"25271 Roy Expressway Suite 147 Brownport, FM 59852-6150",Singh-Cole,1,Old,62.28,9.198887032170738
8,Ashlee Carr,43.0,14062.6,1,5.46,11.0,2011-09-29 05:47:23,"3725 Caroline Stravenue South Christineview, MA 82059",Lopez PLC,1,Mid,60.06,9.5513451781098
9,Jennifer Lynch,40.0,8066.94,1,7.11,11.0,2006-03-28 15:42:45,"363 Sandra Lodge Suite 144 South Ann, WI 51655-7561",Reed-Martinez,1,Old,78.21000000000001,8.995653462259142
